epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,579.504,1.73677,5.42817,1.17598,0.01631,0.88244,0.05205,0.02962,1.55197,4.95945,1.14348,8.27381e-05,8.27381e-05,8.27381e-05
2,1206.44,1.54631,4.38711,1.09813,0.1664,0.20889,0.07291,0.041,1.52199,4.53386,1.10132,0.000162783,0.000162783,0.000162783
3,2452.23,1.50159,4.01169,1.08506,0.2123,0.31414,0.18684,0.1085,1.4384,4.11466,1.12318,0.000239528,0.000239528,0.000239528
4,3539.84,1.48804,3.66551,1.0867,0.29759,0.40534,0.29966,0.17972,1.40062,3.76641,1.11437,0.00023515,0.00023515,0.00023515
5,4020.9,1.44863,3.35326,1.08903,0.46545,0.54924,0.4588,0.2772,1.38296,3.30587,1.1169,0.0002302,0.0002302,0.0002302
6,4615.47,1.42182,2.99551,1.09239,0.43488,0.57273,0.53662,0.32386,1.38904,2.96084,1.13409,0.00022525,0.00022525,0.00022525
7,5706.76,1.43521,2.76298,1.10237,0.558,0.59793,0.6064,0.37248,1.39818,2.68294,1.1412,0.0002203,0.0002203,0.0002203
8,6237.08,1.39951,2.46218,1.09493,0.6144,0.65666,0.67854,0.42058,1.38268,2.49973,1.15163,0.00021535,0.00021535,0.00021535
9,6727.28,1.387,2.29225,1.09994,0.69807,0.67867,0.7363,0.45451,1.39585,2.25013,1.16042,0.0002104,0.0002104,0.0002104
10,7217.81,1.37845,2.12392,1.09584,0.68124,0.71215,0.72202,0.44614,1.37444,2.23891,1.14809,0.00020545,0.00020545,0.00020545
11,7704.94,1.37097,1.99686,1.09302,0.80381,0.68963,0.78236,0.48737,1.38104,2.00393,1.16153,0.0002005,0.0002005,0.0002005
12,8190.91,1.36938,1.90389,1.09075,0.72826,0.73665,0.77854,0.47968,1.37882,1.91903,1.16131,0.00019555,0.00019555,0.00019555
13,8679.99,1.35028,1.77326,1.07805,0.77003,0.74229,0.7967,0.49957,1.35207,1.86113,1.15178,0.0001906,0.0001906,0.0001906
